image,ID,Titre,Date de création,"Avec typo
ou sans typo",Style de typo ,geo ,Lat,lon,lon_lat,couleur,HSL,RGB
,1,Affiche Attention Travaux,1996,Oui,Sans Serif,Paris,48.8567,2.3508,48.8567 2.3508,#F0602F,"17, 87, 57"," 240, 96, 47"
,2,Affiche Pierre et Gilles,1996,Oui,Serif,Paris,48.9233,2.3488,48.9233 2.3488,#82796D,"36, 8, 48"," 130, 121, 109"
,3,Affiche All's well that sells well,1997,Oui,Sans Serif,Paris,48.8583,2.3429,48.8583 2.3429,#D9D8EC,"243, 30, 86"," 217, 216, 236"
,4,Affiche SOS - Kinderdorf,1997,Oui,Divers,Paris,48.8611,2.3333,48.8611 2.3333,#7E7C76,"33, 3, 48"," 126, 124, 118"
,5,Affiche 3ème mois du graphisme d'Echirolles,1992,Oui,Sans Serif,Paris,48.8778,2.3525,48.8778 2.3525,#303030,"0, 0, 19"," 48, 48, 48"
,6,Affiche Le tour 95,1995,Oui ,Sans Serif,Paris,48.8592,2.3447,48.8592 2.3447,#D8D87A,"60, 60, 66"," 216, 216, 122"
,7,Affiche La photographie,1997,Oui,Sans Serif,Paris,48.8464,2.3444,48.8464 2.3444,#171717,"0, 0, 9"," 23, 23, 23"
,8,Affiche Appel à candidatures,1993,Non ,Null,Paris,48.8619,2.3322,48.8619 2.3322,#784831,"18, 37, 29"," 120, 72, 49"
,9,Affiche Expo,1990,Oui,Sans Serif,Paris,48.8833,2.3417,48.8833 2.3417,#D7D7D6,"60, 1, 85"," 215, 215, 214"
,10,Affiche exposition,1991,Oui,Sans Serif,Paris,48.875,2.3583,48.875 2.3583,#D7D7D6,"60, 1, 85"," 215, 215, 214"
,11,"Affiche Planche du livret de l'exposition ""En quête d'objets"", Galerie des Enfants, au Centre Pompidou, de janvier à août 2000",1999,Non ,Null,Paris,48.8667,2.3444,48.8667 2.3444,#D7D7D6,"60, 1, 85"," 215, 215, 214"
,12,Affiche Les seringues,1995,Non ,Null,Paris,48.8497,2.3381,48.8497 2.3381,#483131,"0, 18, 25"," 72, 49, 49"
,13,Affiche Mode d'emploi,1995,Oui,Sans Serif,Paris,48.8683,2.3361,48.8683 2.3361,#F0F0F0,"0, 0, 94"," 240, 240, 240"
,14,Affiche Tout près d'ici nos prisons,1995,Oui,Sans Serif,Paris,48.8833,2.3461,48.8833 2.3461,#D5D748,"65, 61, 55"," 213, 215, 72"
,15,Affiche Tout près d'ici nos prisons,1995,Oui,Sans Serif,Paris,48.8306,2.3458,48.8306 2.3458,#D7BF2F,"50, 80, 55"," 215, 191, 47"
,16,Affiche Editorial,1995,Oui,Sans Serif,Paris,48.8794,2.3542,48.8794 2.3542,#D7BF2F,"50, 80, 55"," 215, 191, 47"
,17,Affiche Points de vue,1995,Oui,Sans Serif,Paris,48.8778,2.3422,48.8778 2.3422,#D7BF2F,"50, 80, 55"," 215, 191, 47"
,18,Affiche L'observatoire,1995,Oui,Sans Serif,Paris,48.8389,2.3525,48.8389 2.3525,#D7BF2F,"50, 80, 55"," 215, 191, 47"
,19,Affiche Dire le droit,1995,Oui,Sans Serif,Paris,48.8719,2.3506,48.8719 2.3506,#D7BF2F,"50, 80, 55"," 215, 191, 47"
,20,Affiche La protection juridique des personnes détenues,1995,Oui,Sans Serif,Paris,48.8494,2.3572,48.8494 2.3572,#D7BF2F,"50, 80, 55"," 215, 191, 47"
,21,Affiche Les prisonniers ont des droits,1995,Oui,Sans Serif,Paris,48.8364,2.3381,48.8364 2.3381,#F0F0F0,"0, 0, 94"," 240, 240, 240"
,22,Affiche La peine de mort,1995,Oui,Sans Serif,Paris,48.8883,2.3375,48.8883 2.3375,#F0F0F0,"0, 0, 94"," 240, 240, 240"
,23,Affiche La torture,1995,Oui,Sans Serif,Paris,48.8883,2.3325,48.8883 2.3325,#F0F0F0,"0, 0, 94"," 240, 240, 240"
,24,Affiche Les mauvais traitements,1995,Oui,Sans Serif,Paris,48.8856,2.3514,48.8856 2.3514,#D7D7D6,"60, 1, 85"," 215, 215, 214"
,25,Affiche Les suicides,1995,Oui,Sans Serif,Paris,48.8428,2.3492,48.8428 2.3492,#F0F0F0,"0, 0, 94"," 240, 240, 240"
,26,Affiche Les femmes,1995,Oui,Sans Serif,Paris,48.8744,2.3494,48.8744 2.3494,#F0F0F0,"0, 0, 95"," 240, 240, 240"
,27,Affiche Les mineurs,1995,Oui ,Sans Serif,Paris,48.8911,2.3383,48.8911 2.3383,#F0F0F0,"0, 0, 96"," 240, 240, 240"
,28,Affiche L'alimentation,1995,Oui,Sans Serif,Paris,48.8444,2.3383,48.8444 2.3383,#F0F0F0,"0, 0, 97"," 240, 240, 240"
,29,Affiche L'hygiène,1995,Oui,Sans Serif,Paris,48.8478,2.3556,48.8478 2.3556,#F0F0F0,"0, 0, 98"," 240, 240, 240"
,30,Affiche La santé,1995,Oui,Sans Serif,Paris,48.8989,2.3478,48.8989 2.3478,#F0F0F0,"0, 0, 99"," 240, 240, 240"
,31,Affiche Le sida,1995,Oui,Sans Serif,Paris,48.8333,2.3383,48.8333 2.3383,#F0F0F0,"0, 0, 100"," 240, 240, 240"
,32,Affiche La toxicomanie,1995,Oui ,Sans Serif,Paris,48.8306,2.3506,48.8306 2.3506,#F0F0F0,"0, 0, 101"," 240, 240, 240"
,33,Affiche La sexualité,1995,Oui ,Sans Serif,Paris,48.8361,2.3403,48.8361 2.3403,#F0F0F0,"0, 0, 102"," 240, 240, 240"
,34,Affiche Les liens familiaux,1995,Oui ,Sans Serif,Paris,48.8928,2.3514,48.8928 2.3514,#F0F0F0,"0, 0, 103"," 240, 240, 240"
,35,Affiche La garde à vue,1995,Oui ,Sans Serif,Paris,48.8333,2.3425,48.8333 2.3425,#F0F0F0,"0, 0, 104"," 240, 240, 240"
,36,Affiche Le droit de défense,1995,Oui,Sans Serif,Paris,48.8944,2.3306,48.8944 2.3306,#F0F0F0,"0, 0, 105"," 240, 240, 240"
,37,Affiche Les locaux,1995,Oui,Sans Serif,Paris,48.8544,2.3422,48.8544 2.3422,#F0F0F0,"0, 0, 106"," 240, 240, 240"
,38,Affiche La surpopulation,1995,Oui,Sans Serif,Paris,48.8472,2.3403,48.8472 2.3403,#F0F0F0,"0, 0, 107"," 240, 240, 240"
,39,Affiche Les régimes de détention,1995,Oui,Sans Serif,Paris,48.9056,2.3494,48.9056 2.3494,#F0F0F0,"0, 0, 108"," 240, 240, 240"
,40,Affiche L'isolement,1995,Oui ,Sans Serif,Paris,48.8478,2.3425,48.8478 2.3425,#F0F0F0,"0, 0, 109"," 240, 240, 240"
,41,Affiche Les sanctions disciplinaires,1995,Oui,Sans Serif,Paris,48.8994,2.3458,48.8994 2.3458,#F0F0F0,"0, 0, 110"," 240, 240, 240"
,42,Affiche Les mouvements de contestations,1995,Oui,Sans Serif,Paris,48.8422,2.3425,48.8422 2.3425,#F0F0F0,"0, 0, 111"," 240, 240, 240"
,43,Affiche Les surveillants,1995,Oui,Sans Serif,Paris,48.8511,2.3439,48.8511 2.3439,#F0F0F0,"0, 0, 112"," 240, 240, 240"
,44,Affiche Racisme et discriminations,1995,Oui,Sans Serif,Paris,48.9083,2.3483,48.9083 2.3483,#D7D7D6,"60, 1, 85"," 215, 215, 214"
,45,Affiche Le travail,1995,Oui ,Sans Serif,Paris,48.8517,2.3592,48.8517 2.3592,#D7D7D6,"60, 1, 85"," 215, 215, 214"
,46,Affiche La formation,1995,Oui,Sans Serif,Paris,48.8644,2.3494,48.8644 2.3494,#F0F0F0,"0, 0, 94"," 240, 240, 240"
,47,Affiche La culture,1995,Oui ,Sans Serif,Paris,48.9206,2.3583,48.9206 2.3583,#F0F0F0,"0, 0, 94"," 240, 240, 240"
,48,Affiche Témoignages,1995,Oui ,Sans Serif,Paris,48.9206,2.3583,48.9206 2.3583,#D7BF2F,"50, 80, 55"," 215, 191, 47"
,49,Affiche Complicités,1995,Oui ,Sans Serif,Paris,48.9206,2.3583,48.9206 2.3583,#D7BF2F,"50, 80, 55"," 215, 191, 47"
,50,Affiche Agir avec l'OIP,1995,Non ,Null,Paris,48.9206,2.3583,48.9206 2.3583,#D7BF2F,"50, 80, 55"," 215, 191, 47"
,51,Affiche Mains et barreaux,1995,Oui,Sans Serif,Paris,48.9206,2.3583,48.9206 2.3583,#F0F0F0,"0, 0, 94"," 240, 240, 240"
,52,Affiche Networks & system management Olivetti,1993,Oui,Divers,Paris,48.9206,2.3583,48.9206 2.3583,#D7D7D6,"60, 1, 85"," 215, 215, 214"
,53,Affiche Mumia Abu-Jamal,1999,Oui,Sans Serif,Paris,48.9207,2.3583,48.9207 2.3583,#494949,"0, 0, 29"," 73, 73, 73"
